origin	dest	demand
1	2	100.0
1	3	100.0
1	4	500.0
1	5	200.0
1	6	300.0
1	7	500.0
1	8	800.0
1	9	500.0
1	10	1300.0
1	11	500.0
1	12	200.0
1	13	500.0
1	14	300.0
1	15	500.0
1	16	500.0
1	17	400.0
1	18	100.0
1	19	300.0
1	20	300.0
1	21	100.0
1	22	400.0
1	23	300.0
1	24	100.0
2	1	100.0
2	3	100.0
2	4	200.0
2	5	100.0
2	6	400.0
2	7	200.0
2	8	400.0
2	9	200.0
2	10	600.0
2	11	200.0
2	12	100.0
2	13	300.0
2	14	100.0
2	15	100.0
2	16	400.0
2	17	200.0
2	18	0.0
2	19	100.0
2	20	100.0
2	21	0.0
2	22	100.0
2	23	0.0
2	24	0.0
3	1	100.0
3	2	100.0
3	4	200.0
3	5	100.0
3	6	300.0
3	7	100.0
3	8	200.0
3	9	100.0
3	10	300.0
3	11	300.0
3	12	200.0
3	13	100.0
3	14	100.0
3	15	100.0
3	16	200.0
3	17	100.0
3	18	0.0
3	19	0.0
3	20	0.0
3	21	0.0
3	22	100.0
3	23	100.0
3	24	0.0
4	1	500.0
4	2	200.0
4	3	200.0
4	5	500.0
4	6	400.0
4	7	400.0
4	8	700.0
4	9	700.0
4	10	1200.0
4	11	1400.0
4	12	600.0
4	13	600.0
4	14	500.0
4	15	500.0
4	16	800.0
4	17	500.0
4	18	100.0
4	19	200.0
4	20	300.0
4	21	200.0
4	22	400.0
4	23	500.0
4	24	200.0
5	1	200.0
5	2	100.0
5	3	100.0
5	4	500.0
5	6	200.0
5	7	200.0
5	8	500.0
5	9	800.0
5	10	1000.0
5	11	500.0
5	12	200.0
5	13	200.0
5	14	100.0
5	15	200.0
5	16	500.0
5	17	200.0
5	18	0.0
5	19	100.0
5	20	100.0
5	21	100.0
5	22	200.0
5	23	100.0
5	24	0.0
6	1	300.0
6	2	400.0
6	3	300.0
6	4	400.0
6	5	200.0
6	7	400.0
6	8	800.0
6	9	400.0
6	10	800.0
