origin	dest	capacity	length	fft	alpha	beta	speedLimit
1	2	25900.20064	6	6	0.15	4	0
1	3	23403.47319	4	4	0.15	4	0
2	1	25900.20064	6	6	0.15	4	0
2	6	4958.180928	5	5	0.15	4	0
3	1	23403.47319	4	4	0.15	4	0
3	4	17110.52372	4	4	0.15	4	0
3	12	23403.47319	4	4	0.15	4	0
4	3	17110.52372	4	4	0.15	4	0
4	5	17782.7941	2	2	0.15	4	0
4	11	4908.82673	6	6	0.15	4	0
5	4	17782.7941	2	2	0.15	4	0
5	6	4947.995469	4	4	0.15	4	0
5	9	10000	5	5	0.15	4	0
6	2	4958.180928	5	5	0.15	4	0
6	5	4947.995469	4	4	0.15	4	0
6	8	4898.587646	2	2	0.15	4	0
7	8	7841.81131	3	3	0.15	4	0
7	18	23403.47319	2	2	0.15	4	0
8	6	4898.587646	2	2	0.15	4	0
8	7	7841.81131	3	3	0.15	4	0
8	9	5050.193156	10	10	0.15	4	0
8	16	5045.822583	5	5	0.15	4	0
9	5	10000	5	5	0.15	4	0
9	8	5050.193156	10	10	0.15	4	0
9	10	13915.78842	3	3	0.15	4	0
10	9	13915.78842	3	3	0.15	4	0
10	11	10000	5	5	0.15	4	0
10	15	13512.00155	6	6	0.15	4	0
10	16	4854.917717	4	4	0.15	4	0
10	17	4993.510694	8	8	0.15	4	0
11	4	4908.82673	6	6	0.15	4	0
11	10	10000	5	5	0.15	4	0
11	12	4908.82673	6	6	0.15	4	0
11	14	4876.508287	4	4	0.15	4	0
12	3	23403.47319	4	4	0.15	4	0
12	11	4908.82673	6	6	0.15	4	0
12	13	25900.20064	3	3	0.15	4	0
13	12	25900.20064	3	3	0.15	4	0
13	24	5091.256152	4	4	0.15	4	0
14	11	4876.508287	4	4	0.15	4	0
14	15	5127.526119	5	5	0.15	4	0
14	23	4924.790605	4	4	0.15	4	0
15	10	13512.00155	6	6	0.15	4	0
15	14	5127.526119	5	5	0.15	4	0
15	19	14564.75315	3	3	0.15	4	0
15	22	9599.180565	3	3	0.15	4	0
16	8	5045.822583	5	5	0.15	4	0
16	10	4854.917717	4	4	0.15	4	0
16	17	5229.910063	2	2	0.15	4	0
16	18	19679.89671	3	3	0.15	4	0
17	10	4993.510694	8	8	0.15	4	0
17	16	5229.910063	2	2	0.15	4	0
17	19	4823.950831	2	2	0.15	4	0
18	7	23403.47319	2	2	0.15	4	0
18	16	19679.89671	3	3	0.15	4	0
18	20	23403.47319	4	4	0.15	4	0
19	15	14564.75315	3	3	0.15	4	0
19	17	4823.950831	2	2	0.15	4	0
19	20	5002.607563	4	4	0.15	4	0
20	18	23403.47319	4	4	0.15	4	0
20	19	5002.607563	4	4	0.15	4	0
20	21	5059.91234	6	6	0.15	4	0
20	22	5075.697193	5	5	0.15	4	0
21	20	5059.91234	6	6	0.15	4	0
21	22	5229.910063	2	2	0.15	4	0
21	24	4885.357564	3	3	0.15	4	0
22	15	9599.180565	3	3	0.15	4	0
22	20	5075.697193	5	5	0.15	4	0
22	21	5229.910063	2	2	0.15	4	0
22	23	5000	4	4	0.15	4	0
23	14	4924.790605	4	4	0.15	4	0
23	22	5000	4	4	0.15	4	0
23	24	5078.508436	2	2	0.15	4	0
24	13	5091.256152	4	4	0.15	4	0
24	21	4885.357564	3	3	0.15	4	0
24	23	5078.508436	2	2	0.15	4	0
