"N"	"lon"	"lat"	"X"
1	-93.47971292	45.39920375	";"
2	-93.40351202	45.4070046	";"
3	-93.42928119	45.39400758	";"
4	-93.39014834	45.39121884	";"
5	-93.37436169	45.39446797	";"
6	-93.36303839	45.39425163	";"
7	-93.33782716	45.39898526	";"
8	-93.29043101	45.40647607	";"
9	-93.29046059	45.39202886	";"
10	-93.27570944	45.37762573	";"
11	-93.30388385	45.37757202	";"
12	-93.33478116	45.37771953	";"
13	-93.2758644	45.36325661	";"
14	-93.30252629	45.36234763	";"
15	-93.33258075	45.35240207	";"
16	-93.3321172	45.32703518	";"
17	-93.30027593	45.33660761	";"
18	-93.27514273	45.33971583	";"
19	-93.28564642	45.3093988	";"
20	-93.32678125	45.30894695	";"
21	-93.36122453	45.31075797	";"
22	-93.35611447	45.334186	";"
23	-93.35463524	45.36487255	";"
24	-93.36743023	45.35482418	";"
25	-93.37980555	45.37390266	";"
26	-93.38144688	45.3455013	";"
27	-93.38066618	45.31458517	";"
28	-93.39728741	45.31191395	";"
29	-93.3934035	45.34185385	";"
30	-93.40425016	45.35774903	";"
31	-93.43559793	45.37733549	";"
32	-93.48483547	45.37559915	";"
33	-93.49011082	45.34615681	";"
34	-93.44324057	45.34928017	";"
35	-93.43259733	45.31528821	";"
36	-93.47090707	45.30836234	";"
37	-93.49493002	45.31594456	";"
38	-93.50175147	45.28246218	";"
39	-93.47338697	45.29227804	";"
40	-93.43020729	45.2929349	";"
41	-93.39444561	45.29272594	";"
42	-93.46786265	45.28062465	";"
43	-93.49879477	45.26061388	";"
44	-93.47837986	45.2597025	";"
45	-93.46632313	45.26343382	";"
46	-93.44993505	45.26647157	";"
47	-93.4276717	45.2796005	";"
48	-93.42770194	45.26886582	";"
49	-93.41040319	45.27460647	";"
50	-93.43458252	45.25443732	";"
51	-93.4177782	45.25691934	";"
52	-93.39828748	45.25475008	";"
53	-93.39455661	45.24024712	";"
54	-93.40656605	45.24165073	";"
55	-93.4141512	45.23095315	";"
56	-93.42029983	45.24186982	";"
57	-93.43813467	45.24082647	";"
58	-93.45969388	45.2467437	";"
59	-93.45911395	45.23974833	";"
60	-93.47753782	45.24239761	";"
61	-93.49508607	45.24582513	";"
62	-93.48264354	45.23338998	";"
63	-93.45909677	45.23396225	";"
64	-93.44076381	45.22908081	";"
65	-93.44305915	45.2211509	";"
66	-93.42438188	45.2226315	";"
67	-93.41424091	45.22093157	";"
68	-93.41561202	45.20954051	";"
69	-93.40196424	45.19896846	";"
70	-93.39335886	45.20292789	";"
71	-93.40148962	45.21207004	";"
72	-93.40020057	45.22047344	";"
73	-93.39074438	45.2174747	";"
74	-93.38505906	45.23638883	";"
75	-93.38734889	45.26198081	";"
76	-93.39649007	45.27956544	";"
77	-93.37711433	45.27615196	";"
78	-93.36489204	45.2895372	";"
79	-93.35204257	45.28739458	";"
80	-93.36393881	45.26438848	";"
81	-93.35180974	45.2658507	";"
82	-93.3631558	45.24108029	";"
83	-93.33996554	45.22759972	";"
84	-93.32879697	45.24907429	";"
85	-93.33656254	45.26954605	";"
86	-93.33669761	45.28719829	";"
87	-93.31614141	45.28048094	";"
88	-93.29665622	45.28728699	";"
89	-93.29573705	45.26958203	";"
90	-93.27742637	45.28567808	";"
91	-93.27315735	45.26924302	";"
92	-93.27499418	45.25914511	";"
93	-93.29739764	45.25582602	";"
94	-93.27405622	45.24532113	";"
95	-93.29277709	45.24153466	";"
96	-93.3111883	45.23916218	";"
97	-93.38327631	45.21701209	";"
98	-93.36881673	45.21485554	";"
99	-93.35009249	45.21154227	";"
100	-93.33598486	45.20937189	";"
101	-93.32444558	45.20406715	";"
102	-93.31258637	45.20513225	";"
103	-93.31785601	45.21458362	";"
104	-93.31490527	45.21790404	";"
105	-93.31679077	45.22554059	";"
106	-93.29422766	45.23052055	";"
107	-93.29382517	45.22444383	";"
108	-93.27336005	45.22613746	";"
109	-93.28559135	45.21584557	";"
110	-93.28621899	45.20442191	";"
111	-93.25009913	45.21521053	";"
112	-93.24933572	45.22720887	";"
113	-93.25028894	45.24542063	";"
114	-93.24933833	45.26057611	";"
115	-93.24930559	45.27634106	";"
116	-93.25095658	45.2921904	";"
117	-93.21852599	45.29141188	";"
118	-93.21302083	45.27528872	";"
119	-93.21876117	45.25713202	";"
120	-93.22500701	45.24120114	";"
121	-93.22392847	45.22712035	";"
122	-93.22429875	45.21516218	";"
123	-93.18574388	45.21752438	";"
124	-93.19923793	45.22662084	";"
125	-93.20188796	45.23781099	";"
126	-93.19311595	45.25335349	";"
127	-93.1714433	45.27324437	";"
128	-93.16816733	45.25310859	";"
129	-93.17283774	45.23296895	";"
130	-93.15041987	45.24103561	";"
131	-93.17305281	45.28956337	";"
132	-93.15284321	45.30507318	";"
133	-93.18053765	45.31013081	";"
134	-93.22205904	45.30886271	";"
135	-93.25038923	45.30882577	";"
136	-93.25112098	45.33790722	";"
137	-93.25111333	45.36338023	";"
138	-93.214189	45.34585419	";"
139	-93.16903483	45.34080241	";"
140	-93.17073526	45.37482855	";"
141	-93.21977675	45.38288252	";"
142	-93.25013145	45.38478204	";"
143	-93.24849551	45.40668671	";"
144	-93.1839536	45.40073197	";"
145	-93.12104653	45.39895955	";"
146	-93.06119137	45.39982481	";"
147	-93.04717345	45.37048734	";"
148	-93.09506858	45.37810657	";"
149	-93.12751475	45.36634887	";"
150	-93.08142752	45.34203563	";"
151	-93.08115816	45.30644412	";"
152	-93.11214206	45.26973614	";"
153	-93.06103525	45.27397232	";"
154	-93.03621319	45.26523647	";"
155	-93.02460551	45.22941676	";"
156	-93.03923356	45.23136317	";"
157	-93.05846534	45.23442363	";"
158	-93.07781571	45.22569158	";"
159	-93.1118419	45.23355321	";"
160	-93.07191325	45.20359865	";"
161	-93.04775956	45.18471015	";"
162	-93.02497613	45.18722613	";"
163	-93.02986212	45.13981305	";"
164	-93.04570832	45.14708902	";"
165	-93.07263961	45.13431549	";"
166	-93.07941995	45.1556756	";"
167	-93.09360073	45.17509204	";"
168	-93.11793603	45.15331309	";"
169	-93.10640959	45.13443648	";"
170	-93.13687348	45.13214108	";"
171	-93.1435397	45.14391162	";"
172	-93.1564038	45.13267516	";"
173	-93.17276648	45.13009805	";"
174	-93.17950391	45.13681272	";"
175	-93.17106086	45.14812523	";"
176	-93.1545985	45.14922631	";"
177	-93.15188218	45.15920482	";"
178	-93.13140319	45.16452112	";"
179	-93.13069849	45.17690723	";"
180	-93.09398922	45.19063602	";"
181	-93.11395655	45.19042508	";"
182	-93.1325175	45.18932666	";"
183	-93.11951991	45.20398663	";"
184	-93.15304092	45.18794731	";"
