tail.node	head.node	capacity..veh.h.	length..miles.	fftt.min.	Power	B	speed.limit..mph.
1	54632	99999	0	2.19029	0.9	3.6	NA
2	29402	99999	0	1.26518	0.9	3.6	NA
2	54633	99999	0	1.4911	0.9	3.6	NA
3	29331	99999	0	2.48214	0.9	3.6	NA
3	29390	99999	0	1.75202	0.9	3.6	NA
3	29395	99999	0	3.19336	0.9	3.6	NA
4	29395	99999	0	1.85796	0.9	3.6	NA
4	29404	99999	0	1.44027	0.9	3.6	NA
4	29429	99999	0	1.078	0.9	3.6	NA
5	29431	99999	0	0.62395	0.9	3.6	NA
5	29435	99999	0	0.8864	0.9	3.6	NA
6	29419	99999	0	2.22855	0.9	3.6	NA
7	54635	99999	0	2.15217	0.9	3.6	NA
8	34946	99999	0	1.16349	0.9	3.6	NA
9	34944	99999	0	2.50108	0.9	3.6	NA
9	34946	99999	0	1.14059	0.9	3.6	NA
10	34972	99999	0	1.13807	0.9	3.6	NA
10	34981	99999	0	1.15782	0.9	3.6	NA
11	34944	99999	0	1.34743	0.9	3.6	NA
11	34956	99999	0	1.14679	0.9	3.6	NA
11	34982	99999	0	2.10057	0.9	3.6	NA
12	25220	99999	0	1.19271	0.9	3.6	NA
12	34955	99999	0	1.48965	0.9	3.6	NA
13	34976	99999	0	1.15899	0.9	3.6	NA
13	34979	99999	0	1.43871	0.9	3.6	NA
13	34986	99999	0	1.14794	0.9	3.6	NA
14	34952	99999	0	1.73849	0.9	3.6	NA
14	34958	99999	0	1.64815	0.9	3.6	NA
14	34961	99999	0	1.1018	0.9	3.6	NA
15	29321	99999	0	2.88932	0.9	3.6	NA
15	29436	99999	0	3.05854	0.9	3.6	NA
15	34330	99999	0	1.84411	0.9	3.6	NA
16	29320	99999	0	1.15903	0.9	3.6	NA
16	34676	99999	0	1.71899	0.9	3.6	NA
17	34684	99999	0	1.86786	0.9	3.6	NA
17	34688	99999	0	2.88304	0.9	3.6	NA
17	34954	99999	0	3.17299	0.9	3.6	NA
18	34687	99999	0	1.41736	0.9	3.6	NA
18	34975	99999	0	2.62605	0.9	3.6	NA
19	34672	99999	0	0.27165	0.9	3.6	NA
20	25137	99999	0	1.78876	0.9	3.6	NA
20	34669	99999	0	2.32396	0.9	3.6	NA
21	29302	99999	0	2.67686	0.9	3.6	NA
21	29303	99999	0	2.05625	0.9	3.6	NA
22	29302	99999	0	1.55011	0.9	3.6	NA
23	40413	99999	0	0.78261	0.9	3.6	NA
24	29416	99999	0	0.73664	0.9	3.6	NA
24	29420	99999	0	2.20554	0.9	3.6	NA
25	29412	99999	0	1.53156	0.9	3.6	NA
25	29421	99999	0	1.36988	0.9	3.6	NA
26	28280	99999	0	0.99707	0.9	3.6	NA
26	29414	99999	0	2.12121	0.9	3.6	NA
27	40414	99999	0	0.47439	0.9	3.6	NA
28	29263	99999	0	0.7608	0.9	3.6	NA
29	28276	99999	0	1.00561	0.9	3.6	NA
30	28276	99999	0	1.80826	0.9	3.6	NA
30	28283	99999	0	1.41654	0.9	3.6	NA
30	29380	99999	0	3.72384	0.9	3.6	NA
31	29396	99999	0	1.16911	0.9	3.6	NA
31	29399	99999	0	3.01479	0.9	3.6	NA
32	29345	99999	0	2.77719	0.9	3.6	NA
32	29348	99999	0	1.89256	0.9	3.6	NA
33	28284	99999	0	2.19973	0.9	3.6	NA
33	28989	99999	0	2.87278	0.9	3.6	NA
34	28282	99999	0	2.98274	0.9	3.6	NA
34	29006	99999	0	3.78201	0.9	3.6	NA
34	29392	99999	0	3.8082	0.9	3.6	NA
35	28684	99999	0	2.73704	0.9	3.6	NA
35	29263	99999	0	3.25965	0.9	3.6	NA
35	29265	99999	0	2.43486	0.9	3.6	NA
36	28675	99999	0	1.57319	0.9	3.6	NA
36	28992	99999	0	2.08764	0.9	3.6	NA
36	28993	99999	0	1.78439	0.9	3.6	NA
37	28991	99999	0	1.49144	0.9	3.6	NA
37	54629	99999	0	2.06807	0.9	3.6	NA
37	54630	99999	0	2.42512	0.9	3.6	NA
38	40485	99999	0	0.56685	0.9	3.6	NA
39	28675	99999	0	1.18041	0.9	3.6	NA
39	28945	99999	0	1.27198	0.9	3.6	NA
40	40416	99999	0	1.52437	0.9	3.6	NA
41	40415	99999	0	0.71303	0.9	3.6	NA
42	28944	99999	0	2.02994	0.9	3.6	NA
42	28945	99999	0	0.68941	0.9	3.6	NA
43	28951	99999	0	1.62979	0.9	3.6	NA
44	28954	99999	0	1.0939	0.9	3.6	NA
45	28954	99999	0	1.32157	0.9	3.6	NA
45	28977	99999	0	0.70746	0.9	3.6	NA
46	28690	99999	0	2.44774	0.9	3.6	NA
46	28974	99999	0	1.14027	0.9	3.6	NA
47	29249	99999	0	0.97898	0.9	3.6	NA
48	29249	99999	0	0.82438	0.9	3.6	NA
49	40420	99999	0	0.93501	0.9	3.6	NA
50	29243	99999	0	1.25689	0.9	3.6	NA
50	29246	99999	0	1.12169	0.9	3.6	NA
51	40418	99999	0	1.05584	0.9	3.6	NA
51	40419	99999	0	1.02438	0.9	3.6	NA
52	40418	99999	0	1.1962	0.9	3.6	NA
53	29253	99999	0	0.842	0.9	3.6	NA
54	29231	99999	0	0.47139	0.9	3.6	NA
54	29257	99999	0	1.20055	0.9	3.6	NA
55	29229	99999	0	1.09244	0.9	3.6	NA
56	29237	99999	0	1.04024	0.9	3.6	NA
57	29239	99999	0	0.92571	0.9	3.6	NA
57	29241	99999	0	1.29353	0.9	3.6	NA
58	40428	99999	0	1.10732	0.9	3.6	NA
59	28972	99999	0	0.41885	0.9	3.6	NA
60	28967	99999	0	1.00762	0.9	3.6	NA
60	40429	99999	0	0.85362	0.9	3.6	NA
61	28949	99999	0	0.6828	0.9	3.6	NA
62	28668	99999	0	1.38475	0.9	3.6	NA
62	40740	99999	0	0.6845	0.9	3.6	NA
63	28972	99999	0	0.55905	0.9	3.6	NA
64	29239	99999	0	0.97024	0.9	3.6	NA
64	40741	99999	0	0.86963	0.9	3.6	NA
65	4104	99999	0	1.1856	0.9	3.6	NA
65	40741	99999	0	0.55307	0.9	3.6	NA
66	40431	99999	0	0.55746	0.9	3.6	NA
67	19844	99999	0	0.52349	0.9	3.6	NA
68	50738	99999	0	0.246	0.9	3.6	NA
69	4778	99999	0	0.75671	0.9	3.6	NA
69	4807	99999	0	1.0051	0.9	3.6	NA
70	29126	99999	0	0.30374	0.9	3.6	NA
71	28680	99999	0	0.87705	0.9	3.6	NA
72	29256	99999	0	0.72838	0.9	3.6	NA
73	28680	99999	0	0.79343	0.9	3.6	NA
74	29270	99999	0	0.88662	0.9	3.6	NA
75	40417	99999	0	1.16948	0.9	3.6	NA
76	40421	99999	0	1.11393	0.9	3.6	NA
77	29224	99999	0	1.04759	0.9	3.6	NA
78	29305	99999	0	0.86531	0.9	3.6	NA
79	29223	99999	0	1.58002	0.9	3.6	NA
79	29308	99999	0	0.60029	0.9	3.6	NA
80	29272	99999	0	1.39845	0.9	3.6	NA
80	29279	99999	0	0.40761	0.9	3.6	NA
81	40423	99999	0	0.65819	0.9	3.6	NA
82	29272	99999	0	2.31627	0.9	3.6	NA
82	40422	99999	0	1.6586	0.9	3.6	NA
83	29207	99999	0	1.3146	0.9	3.6	NA
83	29295	99999	0	1.39767	0.9	3.6	NA
83	29296	99999	0	1.0153	0.9	3.6	NA
84	25172	99999	0	2.22099	0.9	3.6	NA
85	25172	99999	0	1.203	0.9	3.6	NA
86	25137	99999	0	1.85918	0.9	3.6	NA
86	29223	99999	0	1.83841	0.9	3.6	NA
87	40424	99999	0	2.82229	0.9	3.6	NA
88	40425	99999	0	1.73758	0.9	3.6	NA
89	40426	99999	0	1.15047	0.9	3.6	NA
90	40427	99999	0	1.50077	0.9	3.6	NA
91	40427	99999	0	1.35321	0.9	3.6	NA
92	34663	99999	0	0.71797	0.9	3.6	NA
92	34668	99999	0	1.0982	0.9	3.6	NA
93	34647	99999	0	0.8831	0.9	3.6	NA
93	40426	99999	0	1.05614	0.9	3.6	NA
94	34662	99999	0	1.11489	0.9	3.6	NA
94	34663	99999	0	1.57291	0.9	3.6	NA
95	34649	99999	0	1.64253	0.9	3.6	NA
95	40444	99999	0	1.32038	0.9	3.6	NA
96	34653	99999	0	0.85467	0.9	3.6	NA
97	40432	99999	0	0.61019	0.9	3.6	NA
98	5118	99999	0	1.0615	0.9	3.6	NA
98	40432	99999	0	1.08899	0.9	3.6	NA
99	5236	99999	0	0.92403	0.9	3.6	NA
99	29169	99999	0	1.2721	0.9	3.6	NA
100	29210	99999	0	0.88095	0.9	3.6	NA
101	29209	99999	0	0.58186	0.9	3.6	NA
101	34449	99999	0	0.87868	0.9	3.6	NA
101	34453	99999	0	1.0248	0.9	3.6	NA
102	34458	99999	0	0.62707	0.9	3.6	NA
102	34466	99999	0	1.12421	0.9	3.6	NA
103	34463	99999	0	0.28788	0.9	3.6	NA
104	25150	99999	0	0.57111	0.9	3.6	NA
105	25177	99999	0	1.06709	0.9	3.6	NA
105	34653	99999	0	1.42046	0.9	3.6	NA
106	40444	99999	0	0.52297	0.9	3.6	NA
107	34360	99999	0	0.75606	0.9	3.6	NA
107	34659	99999	0	1.13119	0.9	3.6	NA
108	34660	99999	0	0.80438	0.9	3.6	NA
108	40443	99999	0	1.11311	0.9	3.6	NA
109	40443	99999	0	1.09037	0.9	3.6	NA
110	34437	99999	0	1.20574	0.9	3.6	NA
110	34442	99999	0	2.35978	0.9	3.6	NA
111	34575	99999	0	0.6765	0.9	3.6	NA
111	34592	99999	0	0.58415	0.9	3.6	NA
112	34364	99999	0	1.89615	0.9	3.6	NA
112	34575	99999	0	1.3489	0.9	3.6	NA
112	34639	99999	0	1.60801	0.9	3.6	NA
113	34636	99999	0	1.69114	0.9	3.6	NA
113	34639	99999	0	1.43394	0.9	3.6	NA
113	34696	99999	0	2.07619	0.9	3.6	NA
114	34666	99999	0	1.78973	0.9	3.6	NA
114	34698	99999	0	0.87111	0.9	3.6	NA
115	34630	99999	0	1.96417	0.9	3.6	NA
115	34632	99999	0	1.80273	0.9	3.6	NA
116	34718	99999	0	0.6135	0.9	3.6	NA
117	34728	99999	0	1.62981	0.9	3.6	NA
118	34378	99999	0	1.96633	0.9	3.6	NA
118	34391	99999	0	2.4854	0.9	3.6	NA
119	34693	99999	0	1.6493	0.9	3.6	NA
119	34701	99999	0	1.90604	0.9	3.6	NA
120	34367	99999	0	1.21516	0.9	3.6	NA
121	34364	99999	0	1.47152	0.9	3.6	NA
121	34695	99999	0	1.97896	0.9	3.6	NA
122	34625	99999	0	1.145	0.9	3.6	NA
123	34368	99999	0	2.06141	0.9	3.6	NA
124	34368	99999	0	0.89002	0.9	3.6	NA
124	34885	99999	0	1.85404	0.9	3.6	NA
125	34704	99999	0	0.43399	0.9	3.6	NA
