tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
1	2	25900.20064	6.0	6.0	6.0008161463709	4494.532389870377
1	3	23403.47319	4.0	4.0	4.008690092543603	8118.926342756396
2	1	25900.20064	6.0	6.0	6.000834035382824	4518.961277373942
2	6	4958.180928	5.0	5.0	6.573566186128634	5967.305992999328
3	1	23403.47319	4.0	4.0	4.008585973809322	8094.497455252799
3	4	17110.52372	4.0	4.0	4.269391194120743	14006.23274675136
3	12	23403.47319	4.0	4.0	4.020178412327548	10022.227321611002
4	3	17110.52372	4.0	4.0	4.27125488501493	14030.3944871803
4	5	17782.7941	2.0	2.0	2.3153672984947558	18006.273846301843
4	11	4908.82673	6.0	6.0	7.133311229019615	5200.012329865012
5	4	17782.7941	2.0	2.0	2.317063316184685	18030.434216745547
5	6	4947.995469	4.0	4.0	9.998182080373962	8798.251899141998
5	9	10000.0	5.0	5.0	9.651224051733	15780.708556241301
6	2	4958.180928	5.0	5.0	6.599492235170845	5991.734880503157
6	5	4947.995469	4.0	4.0	10.020606631513886	8806.463589223737
6	8	4898.587646	2.0	2.0	14.690554346846207	12492.826758546857
7	8	7841.81131	3.0	3.0	5.552088543934231	12101.443964188724
7	18	23403.47319	2.0	2.0	2.062223082797854	15793.8453423933
8	6	4898.587646	2.0	2.0	14.82370379846958	12525.46733613274
8	7	7841.81131	3.0	3.0	5.5013262396145794	12040.81390808778
8	9	5050.193156	10.0	10.0	15.17460239993854	6882.629960201984
8	16	5045.822583	5.0	5.0	10.729347133995864	8388.666799098619
9	5	10000.0	5.0	5.0	9.670055504561816	15796.657236603412
9	8	5050.193156	10.0	10.0	15.0377343264537	6836.660113571627
9	10	13915.78842	3.0	3.0	5.682498793802205	21744.00665812691
10	9	13915.78842	3.0	3.0	5.717197905476299	21813.984806866283
10	11	10000.0	5.0	5.0	12.405482166293268	17726.50098981472
10	15	13512.00155	6.0	6.0	13.722215940000197	23125.681738785104
10	16	4854.917717	4.0	4.0	20.084598759856505	11047.057614718951
10	17	4993.510694	8.0	8.0	16.30762090051929	8099.903416057628
11	4	4908.82673	6.0	6.0	7.223036568438533	5300.01301485741
11	10	10000.0	5.0	5.0	12.203070883367646	17604.111324981488
11	12	4908.82673	6.0	6.0	13.590164071119673	8365.26814031406
11	14	4876.508287	4.0	4.0	13.691072136960354	9776.065677081013
12	3	23403.47319	4.0	4.0	4.019789926124094	9973.636693678325
12	11	4908.82673	6.0	6.0	13.735002059184442	8404.892901422652
12	13	25900.20064	3.0	3.0	3.0227963235545756	12287.575606047343
13	12	25900.20064	3.0	3.0	3.0234794212945637	12378.609054230807
13	24	5091.256152	4.0	4.0	17.660712068085395	11121.297786788857
14	11	4876.508287	4.0	4.0	13.842573590611547	9814.051251138779
14	15	5127.526119	5.0	5.0	12.234038366814772	9036.240213169614
14	23	4924.790605	4.0	4.0	9.07933815628604	8400.434285244397
15	10	13512.00155	6.0	6.0	13.811345694382684	23192.123956242904
15	14	5127.526119	5.0	5.0	12.374530783862747	9079.797516217268
15	19	14564.75315	3.0	3.0	4.326179474759692	19083.172474260977
15	22	9599.180565	3.0	3.0	9.088022394409094	18409.843342215652
16	8	5045.822583	5.0	5.0	10.778626693845935	8406.647167213408
16	10	4854.917717	4.0	4.0	20.235873481257343	11072.940741298735
16	17	5229.910063	2.0	2.0	9.501346174814955	11694.959140197323
16	18	19679.89671	3.0	3.0	3.1634602994149206	15278.219978491026
17	10	4993.510694	8.0	8.0	16.30779794673872	8099.946570585087
17	16	5229.910063	2.0	2.0	9.472666916362886	11683.764992773315
17	19	4823.950831	2.0	2.0	7.436587290610344	9953.0033496134
18	7	23403.47319	2.0	2.0	2.0631840566758783	15854.475398494358
18	16	19679.89671	3.0	3.0	3.1658292936491335	15333.277620610057
18	20	23403.47319	4.0	4.0	4.25936661775916	18976.714364977528
19	15	14564.75315	3.0	3.0	4.335496284569034	19116.600793221452
19	17	4823.950831	2.0	2.0	7.412264364221783	9941.852356716772
19	20	5002.607563	4.0	4.0	9.458944046663767	8688.31950790117
20	18	23403.47319	4.0	4.0	4.260225373710093	18992.402748190365
20	19	5002.607563	4.0	4.0	9.515147873438455	8710.596833964326
20	21	5059.91234	6.0	6.0	8.165624907493687	6301.996753135473
20	22	5075.697193	5.0	5.0	7.713128938320521	6999.999315007571
21	20	5059.91234	6.0	6.0	8.081599193595695	6239.957667463618
21	22	5229.910063	2.0	2.0	4.213455574142899	8619.490776576158
21	24	4885.357564	3.0	3.0	11.923757310945309	10309.32343290873
22	15	9599.180565	3.0	3.0	9.057091366362409	18386.415228753223
22	20	5075.697193	5.0	5.0	7.713137434207877	7000.004794947632
22	21	5229.910063	2.0	2.0	4.201011027874555	8607.349969517805
22	23	5000.0	4.0	4.0	12.365548467588512	9661.750018837098
23	14	4924.790605	4.0	4.0	9.06587573242884	8394.862556255077
23	22	5000.0	4.0	4.0	12.243057576728063	9626.186578257002
23	24	5078.508436	2.0	2.0	3.7592870210062834	7902.9646475370155
24	13	5091.256152	4.0	4.0	17.61671285365074	11112.331919965454
24	21	4885.357564	3.0	3.0	11.752239658275776	10259.425154294326
24	23	5078.508436	2.0	2.0	3.7229434409300577	7861.829477967199
