"tail.node"	"head.node"	"capacity..veh.h."	"length..miles."	"fftt.min."	"Power"	"B"	"Flow"	"speed.limit..mph."	"toll..cents."	"link.type"	"X"
1	54632	99999	0	2.19029	3.6	0.9	0	0	0	1	";"
2	29402	99999	0	1.26518	3.6	0.9	0	0	0	1	";"
2	54633	99999	0	1.4911	3.6	0.9	0	0	0	1	";"
3	29331	99999	0	2.48214	3.6	0.9	0	0	0	1	";"
3	29390	99999	0	1.75202	3.6	0.9	0	0	0	1	";"
3	29395	99999	0	3.19336	3.6	0.9	0	0	0	1	";"
4	29395	99999	0	1.85796	3.6	0.9	0	0	0	1	";"
4	29404	99999	0	1.44027	3.6	0.9	0	0	0	1	";"
4	29429	99999	0	1.078	3.6	0.9	0	0	0	1	";"
5	29431	99999	0	0.62395	3.6	0.9	0	0	0	1	";"
5	29435	99999	0	0.8864	3.6	0.9	0	0	0	1	";"
6	29419	99999	0	2.22855	3.6	0.9	0	0	0	1	";"
7	54635	99999	0	2.15217	3.6	0.9	0	0	0	1	";"
8	34946	99999	0	1.16349	3.6	0.9	0	0	0	1	";"
9	34944	99999	0	2.50108	3.6	0.9	0	0	0	1	";"
9	34946	99999	0	1.14059	3.6	0.9	0	0	0	1	";"
10	34972	99999	0	1.13807	3.6	0.9	0	0	0	1	";"
10	34981	99999	0	1.15782	3.6	0.9	0	0	0	1	";"
11	34944	99999	0	1.34743	3.6	0.9	0	0	0	1	";"
11	34956	99999	0	1.14679	3.6	0.9	0	0	0	1	";"
11	34982	99999	0	2.10057	3.6	0.9	0	0	0	1	";"
12	25220	99999	0	1.19271	3.6	0.9	0	0	0	1	";"
12	34955	99999	0	1.48965	3.6	0.9	0	0	0	1	";"
13	34976	99999	0	1.15899	3.6	0.9	0	0	0	1	";"
13	34979	99999	0	1.43871	3.6	0.9	0	0	0	1	";"
13	34986	99999	0	1.14794	3.6	0.9	0	0	0	1	";"
14	34952	99999	0	1.73849	3.6	0.9	0	0	0	1	";"
14	34958	99999	0	1.64815	3.6	0.9	0	0	0	1	";"
14	34961	99999	0	1.1018	3.6	0.9	0	0	0	1	";"
15	29321	99999	0	2.88932	3.6	0.9	0	0	0	1	";"
15	29436	99999	0	3.05854	3.6	0.9	0	0	0	1	";"
15	34330	99999	0	1.84411	3.6	0.9	0	0	0	1	";"
16	29320	99999	0	1.15903	3.6	0.9	0	0	0	1	";"
16	34676	99999	0	1.71899	3.6	0.9	0	0	0	1	";"
17	34684	99999	0	1.86786	3.6	0.9	0	0	0	1	";"
17	34688	99999	0	2.88304	3.6	0.9	0	0	0	1	";"
17	34954	99999	0	3.17299	3.6	0.9	0	0	0	1	";"
18	34687	99999	0	1.41736	3.6	0.9	0	0	0	1	";"
18	34975	99999	0	2.62605	3.6	0.9	0	0	0	1	";"
19	34672	99999	0	0.27165	3.6	0.9	0	0	0	1	";"
20	25137	99999	0	1.78876	3.6	0.9	0	0	0	1	";"
20	34669	99999	0	2.32396	3.6	0.9	0	0	0	1	";"
21	29302	99999	0	2.67686	3.6	0.9	0	0	0	1	";"
21	29303	99999	0	2.05625	3.6	0.9	0	0	0	1	";"
22	29302	99999	0	1.55011	3.6	0.9	0	0	0	1	";"
23	40413	99999	0	0.78261	3.6	0.9	0	0	0	1	";"
24	29416	99999	0	0.73664	3.6	0.9	0	0	0	1	";"
24	29420	99999	0	2.20554	3.6	0.9	0	0	0	1	";"
25	29412	99999	0	1.53156	3.6	0.9	0	0	0	1	";"
25	29421	99999	0	1.36988	3.6	0.9	0	0	0	1	";"
26	28280	99999	0	0.99707	3.6	0.9	0	0	0	1	";"
26	29414	99999	0	2.12121	3.6	0.9	0	0	0	1	";"
27	40414	99999	0	0.47439	3.6	0.9	0	0	0	1	";"
28	29263	99999	0	0.7608	3.6	0.9	0	0	0	1	";"
29	28276	99999	0	1.00561	3.6	0.9	0	0	0	1	";"
30	28276	99999	0	1.80826	3.6	0.9	0	0	0	1	";"
30	28283	99999	0	1.41654	3.6	0.9	0	0	0	1	";"
30	29380	99999	0	3.72384	3.6	0.9	0	0	0	1	";"
31	29396	99999	0	1.16911	3.6	0.9	0	0	0	1	";"
31	29399	99999	0	3.01479	3.6	0.9	0	0	0	1	";"
32	29345	99999	0	2.77719	3.6	0.9	0	0	0	1	";"
32	29348	99999	0	1.89256	3.6	0.9	0	0	0	1	";"
33	28284	99999	0	2.19973	3.6	0.9	0	0	0	1	";"
