	fromNode	toNode	flow	travelTime
	28249	2584	147.6	0.949211665501
	33697	33686	113.1	1.49309598842
	29556	34003	100.9	3.16947018971
	2580	28427	248.1	3.54630533459
	53765	53766	532.0	1.03482950148
	4083	4147	1844.7	1.13136030538
	29179	820	85.5	0.408462369426
	2519	35742	274.3	3.13747635122
	32948	2480	265.2	0.421540137515
	19285	8415	163.6	1.51414857694
	3492	3464	509.2	0.924502296148
	34676	16	42.8	1.72474279836
	34700	34694	112.0	0.394163682757
	8903	8883	1613.8	0.861831762026
	8982	9085	182.8	2.32025081591
	26712	4926	1153.8	5.07259411018
	1194	31262	1755.5	0.315498282679
	34273	34269	269.2	3.90363280827
	34001	33976	205.0	2.81319117556
	7531	7602	608.2	0.926623843685
	35931	35932	312.7	3.33011848879
	26480	2230	119.4	4.33076520195
	33772	33691	370.8	3.15159980341
	32991	33022	152.3	0.503115363699
	31218	31219	119.2	0.235147113728
	9693	9692	656.2	1.13478359841
	54614	3976	880.1	1.02025070631
	3910	3885	143.1	0.425817049445
	35827	35841	903.3	0.340085108355
	17580	18658	179.9	2.56975240638
	32146	32148	108.4	0.619675476651
	2048	8609	526.3	0.600305184095
	31917	31924	478.6	0.544263165614
	31285	6595	1201.6	1.57400422436
	33160	33159	478.8	0.727447720839
	26354	26353	306.4	0.985399149018
	35462	54206	402.7	1.02048981601
	40305	670	260.1	0.459573174374
	3410	40647	131.2	0.919363165361
	26493	26494	40.1	0.528469183409
	54580	34627	297.0	0.0525778774703
	55038	19460	849.8	0.0832395693187
	2003	40477	172.8	0.083661737059
	30973	52303	70.5	0.544673170458
	33780	33777	198.9	0.397781635906
	27291	3864	432.3	1.0561597892
	8532	8513	1856.6	0.786061720608
	26399	55019	286.6	0.341696151796
	27886	27871	1613.9	0.813358103021
	9560	9562	4641.1	0.773635294649
	4579	4581	4914.4	1.02987500353
	19546	19542	45.0	0.0845936365102
	51900	51901	326.7	0.392442599573
	26284	26285	477.7	1.13949737867
	33052	33060	309.1	1.0283018906
	27918	28628	334.3	8.30142163749
	40658	26280	233.6	1.3711910438
	30493	30511	230.4	1.43028262423
	51136	54545	7.4	0.311493188854
	51930	51929	130.4	2.21597995317
	33079	32781	346.5	0.506996030172
	7426	1474	176.4	0.289940006293
	1893	8719	1019.4	0.625541455168
	50083	50082	72.1	0.163065089489
	5332	5322	1012.4	1.80608310778
	25980	25981	100.9	1.34710928457
	1130	4927	524.5	0.900340808731
	2723	40252	321.2	0.894321694653
	25138	34669	134.4	1.33789307895
	50629	50306	78.5	0.523624663675
	26501	26513	30.3	0.144513610672
	9620	40478	719.7	0.203114929189
	6293	6295	2140.0	0.914046876395
	30316	7589	206.4	0.707570087732
	32196	32195	638.0	3.39998381076
	34176	34179	493.5	0.58943368625
	50608	54653	96.0	0.416649526778
	2902	40380	158.4	2.06864712915
	51126	51124	157.7	0.286382665655
	28188	28187	656.7	0.35639530604
	52660	52659	202.3	0.320714136385
	19822	4440	88.3	0.422190922246
	4323	4283	401.3	1.17293894777
	7586	19269	471.1	3.78604320516
	29060	29059	301.4	1.74810873838
	783	40621	20.4	0.933060065531
	9518	40481	1080.7	0.496300639368
	35858	35859	160.0	0.91437677834
	54310	51931	130.4	1.59136773493
	34073	34074	341.4	1.17896697705
	30256	30093	161.5	0.983590883377
	1689	26642	0.0	1.00741
	32845	460	123.0	0.867028962411
	36051	40346	195.0	4.63953188865
	4479	4739	2200.6	1.95867181446
	18907	40050	429.8	4.95876204378
	33133	10269	82.6	1.14727314091
	28806	28794	104.9	0.355242958171
	54799	53450	249.4	0.179757804983
	19599	31076	273.8	1.02625504085
	28312	28311	487.3	2.85699047677
	51990	51989	0.0	0.15101
	505	30530	419.1	0.68106397708
	53137	53138	48.7	0.534976509776
	6448	6406	2277.6	0.398028288179
	26213	26063	1502.5	7.16314953311
	32377	9639	745.4	0.623798840593
	51218	51679	0.0	0.19635
	30002	29979	1881.5	0.588124470628
	26846	26842	219.7	0.55229194974
	26776	26777	297.1	0.164572185358
	33881	33880	41.8	2.86916733168
	29590	29500	231.2	14.2341300473
	25958	25968	144.9	0.75112243136
	50546	50638	0.0	0.16887
	9535	40476	1532.8	0.383127659009
	2274	35469	337.4	1.39952326687
	29984	29985	566.1	6.45293636522
	6888	6704	918.0	2.81483967142
	1993	30763	217.4	0.709120191241
	54997	54990	2983.3	1.52287457842
